id,name,cuisine_type,price_range,dietary_requirements,hpb_certified_items,hpb_certification_reason,avg_calorie_count
73,Foreword Coffee - Temasek Shophouse,Local,5-10,Regular,"PureBrew Filter Coffee, Coconut Espresso Yuanyang","Lower in calories, Healthier Oils",200
45,Formosa Delight - Bugis Junction,Local,5-10,Regular,"Ban Mian, You Mian","Lower in calories, Healthier Oils",500
12,Formosa Delight - Raffles City Shopping Centre,Local,5-10,Regular,"Ban Mian, You Mian","Lower in calories, Healthier Oils",500
81,Formosa Delight - Suntec City,Local,5-10,Regular,"Ban Mian, You Mian","Lower in calories, Healthier Oils",500
22,BreadTalk - Raffles City,Bakery,1-5,N/A,"Soya Toast, Chia Seed Toast, Pumpkin Toast",Higher in wholegrain,250
60,Founder Bak Kut Teh - North Bridge Road,Local,5-10,Regular,"Sliced Lean Meat Soup, Sliced Fish Soup, Mushroom Soup","Lower in calories, Healthier Oils",650
26,LiHo - Capitol Piazza,Drinks,1-5,N/A,"Traditional Black Tea, Jasmine Green Tea, Roasted Guan Yin Tea, Jing Syan Tea, Fresh Lemon Black Tea","Lower in Sugar, No Sugar added",170
28,Burger King - Capitol Singapore,Fast Food,5-10,"Halal, Vegetarian options available","Plant-based Whopper, Fish Burger, BBQ Chicken Burger","Lower in calories, higher in wholegrain",550
35,Gelare - Bugis+,Local,5-10,Regular,"Aglio Olio, Pasta Al Pomodoro",Lower in calories,700
30,Subway - Bugis+,Fast Food,5-10,"Halal, Vegetarian options available","Wholegrain bread, Roasted Chicken Breast, Veggie Delite","Lower in calories, Higher in wholegrain, Lower in sugar, No added sugar",500
32,The Coffee Bean & Tea Leaf - Victoria Street,Drinks,1-5,N/A,"Americano, Cold Brew, Caf� Latte","Lower in sugar, No added sugar",250
33,LiHo - Bugis +,Drinks,1-5,N/A,"Traditional Black Tea, Jasmine Green Tea, Roasted Guan Yin Tea, Jing Syan Tea, Fresh Lemon Black Tea","Lower in Sugar, No Sugar added",170
50,Gong Cha - Bugis Junction,Local,5-10,Regular,"Green Tea, Black Tea, Alisan Tea, Oolong Tea","Lower in sugar, No added sugar",200
36,Greendot - Bugis Junction,Local,5-10,Regular,"Angelica Herbal Noodles w Cordyceps, Taiwanese Spicy Handmade Noodles","Lower in calories, Higher in Wholegrain, Healthier Oils",450
57,Idaten Udon - Citylink Mall,Local,5-10,Regular,"Kake Udon, Kitsune Udon, Kamatama Udon","Lower in calories, Healthier Oils",500
3,Jack's Place - Bras Basah Complex,Local,5-10,Regular,"Teriyaki Chicken Salad, Jack's Seafood Salad, Prawn & Mango Salad, Caesar Salad with Lava Egg, Grilled Salmon with Crispy Garlic, Grilled Barramundi with Creamy Apricot Sauce","Lower in calories, Healthier Oils",600
31,KOI - Bugis+,Local,5-10,Regular,"Wildflower Ice Honey, Lychee Black Tea, No.8 Green Tea, Honey Green Tea, Wildflower Honey Lemon Lime Juice","Lower in Sugar, No Sugar added",200
39,Subway - POMO,Fast Food,5-10,"Halal, Vegetarian options available","Wholegrain bread, Roasted Chicken Breast, Veggie Delite","Lower in calories, Higher in wholegrain, Lower in sugar, No added sugar",500
53,KOI - City Link Mall,Local,5-10,Regular,"Wildflower Ice Honey, Lychee Black Tea, No.8 Green Tea, Honey Green Tea, Wildflower Honey Lemon Lime Juice","Lower in Sugar, No Sugar added",200
82,Kopitiam - Suntec City,Local,5-10,Regular,"Caifan, Fish Soup, Ban Mian","Lower in calories, Healthier Oils",600
46,LeNu - Bugis Junction,Local,5-10,Regular,"Vegetable Pork Wanton Noodle, Dried Shrimp and Scallion Dry Noodle, Shanghai Green with Oyster Sauce, Poached Lettuce in Supreme Soya Sauce","Lower in calories, Healthier Oils",750
43,Stuff'd - Bugis Junction,Fast Food,5-10,"Halal, Vegetarian options available","Chicken Daily Bowl, Veggie Burrito, Chicken Burrito","No added MSG, Healthier oils, Lower in calories, Higher in wholegrain",600
44,WOK HEY Bugis Junction,Fast Food,5-10,"Halal, Vegetarian options available","Egg Fried Rice, Shanghai Fried Rice, Fresh Ramen, Fresh Udon","Lower in calories, Higher in wholegrain",700
95,Old Town White Coffee - Suntec City Mall,Local,5-10,Regular,"Old Town Ipoh Chicken Hor Fun, Old Town Nasi Lemak, BBQ Rice Bowl, Hainanese Chick'n Chop Rice, Ginger Chick'n Steamed Rice","Lower in calories, Healthier Oils",550
9,OTC Café - National Library Building,Local,5-10,Regular,"Grilled Salmon Grain Bowl, Teriyaki Chicken Grain Bowl",Lower in calories,500
47,McDonald's - Bugis Junction,Fast Food,5-10,Halal,"Sausage McMuffin Meal, Egg McMuffin Meal, Filet-O-Fish Meal, Cheeseburger Meal with Drinking Water, Grilled Chicken Salad Meal with Drinking Water, Grilled Chicken McWrap Meal with Drinking Water","Lower in calories, higher in wholegrain",500
54,Paik's Bibim - CityLink Mall,Local,5-10,Regular,"Veggie Bulgogi Bibimbap, Marinated Tofu Bibimbap, Teriyaki Chicken Bibimbap, Soy Bibim Noodles","Lower in calories, Healthier Oils, Higher in Wholegrain",550
49,Subway - Bugis Junction,Fast Food,5-10,"Halal, Vegetarian options available","Wholegrain bread, Roasted Chicken Breast, Veggie Delite","Lower in calories, Higher in wholegrain, Lower in sugar, No added sugar",500
98,Papparich - Suntec,Local,5-10,Regular,"Steamed Wholemeal Bread with Butter + Kaya, Hainan Chicken Rice with Steamed Chicken, Pan Mee Soup, Ipoh Kway Teow Soup with Steamed Chicken","Lower in calories, Healthier Oils",600
51,BreadTalk - Bugis Junction,Bakery,1-5,N/A,"Soya Toast, Chia Seed Toast, Pumpkin Toast",Higher in wholegrain,250
86,Paradise Inn - Suntec City,Local,5-10,Regular,"Braised Bee Hoon with Assorted Seafood, Steamed Flounder in Hong Kong Style, Stir-fried Baby Cabbage with Garlic","Lower in calories, Healthier Oils",650
99,Partea - Suntec,Local,5-10,Regular,"Rose Pu'er Fruit Tea, Jasmine Fruit Tea, Sijichun Fruit Tea","Lower in Sugar, No Sugar added",200
48,PastaMania - Bugis Junction,Local,5-10,Regular,"Prawn Aglio Olio, Marinara Pasta, Pomodoro Pasta, Aglio Olio",Lower in calories,450
41,Polar Puffs & Cakes - Bugis Junction,Local,5-10,Regular,"Chicken Pie, Wholegrain Castella Square",Lower in calories,275
56,BreadTalk - CityLink,Bakery,1-5,N/A,"Soya Toast, Chia Seed Toast, Pumpkin Toast",Higher in wholegrain,250
67,Pretty Easy Café - The Adelphi,Local,5-10,Regular,"Grilled Chicken, Korean Chicken, Steamed Skinless Chicken Breast, Chicken Wholegrain Noodles, Curry Chicken in Bread Bowl",Lower in calories,550
58,McDonald's - Parklane,Fast Food,5-10,Halal,"Sausage McMuffin Meal, Egg McMuffin Meal, Filet-O-Fish Meal, Cheeseburger Meal with Drinking Water, Grilled Chicken Salad Meal with Drinking Water, Grilled Chicken McWrap Meal with Drinking Water","Lower in calories, higher in wholegrain",500
59,LiHo - The Cathay,Drinks,1-5,N/A,"Traditional Black Tea, Jasmine Green Tea, Roasted Guan Yin Tea, Jing Syan Tea, Fresh Lemon Black Tea","Lower in Sugar, No Sugar added",170
13,Pu Tien - Raffles City,Local,5-10,Regular,"Buddha Jumps over the Wall, Steamed Yellow Croaker in Fermented Red Rice Wine, Herbal Prawn, Putien ""Ca Fen""","Lower in calories, Healthier Oils",650
61,Subway - Shaw Tower,Fast Food,5-10,"Halal, Vegetarian options available","Wholegrain bread, Roasted Chicken Breast, Veggie Delite","Lower in calories, Higher in wholegrain, Lower in sugar, No added sugar",450
64,Rice Garden - Queen Street,Local,5-10,Regular,"Batang Fish Curry Rice, Braised Pork Curry Rice",Lower in calories,550
63,LiHo - Bugis Street,Drinks,1-5,N/A,"Traditional Black Tea, Jasmine Green Tea, Roasted Guan Yin Tea, Jing Syan Tea, Fresh Lemon Black Tea","Lower in Sugar, No Sugar added",170
52,Seoul Garden - Bugis Junction,Local,5-10,Regular,Korean BBQ,Lower in calories,750
65,LiHo - Peace Centre,Drinks,1-5,N/A,"Traditional Black Tea, Jasmine Green Tea, Roasted Guan Yin Tea, Jing Syan Tea, Fresh Lemon Black Tea","Lower in Sugar, No Sugar added",170
66,Burger King - Bugis Village,Fast Food,5-10,"Halal, Vegetarian options available","Plant-based Whopper, Fish Burger, BBQ Chicken Burger",Lower in calories,550
17,Simply Wrapps -Raffles City Shopping Centre,Local,5-10,Regular,"Classic Caesar, Tuna Lovers, Classic Greek, Martian's Delight","Lower in calories, higher in wholegrain",475
68,McDonald's - Bugis Village,Fast Food,5-10,Halal,"Sausage McMuffin Meal, Egg McMuffin Meal, Filet-O-Fish Meal, Cheeseburger Meal with Drinking Water, Grilled Chicken Salad Meal with Drinking Water, Grilled Chicken McWrap Meal with Drinking Water","Lower in calories, higher in wholegrain",500
69,Qi Ji - Rochor Road,Local,5-10,"Halal, Vegetarian options available"," Popiah,  Mee Siam","Lower in calories, Higher in wholegrain",450
70,Stuff'd - Funan Mall,Fast Food,5-10,"Halal, Vegetarian options available","Chicken Daily Bowl, Veggie Burrito, Chicken Burrito","No added MSG, Healthier oils, Lower in calories, Higher in wholegrain",600
71,LiHo - Burlington Square,Drinks,1-5,N/A,"Traditional Black Tea, Jasmine Green Tea, Roasted Guan Yin Tea, Jing Syan Tea, Fresh Lemon Black Tea","Lower in Sugar, No Sugar added",170
72,Burger King - Burlington Square,Fast Food,5-10,"Halal, Vegetarian options available","Plant-based Whopper, Fish Burger, BBQ Chicken Burger",Lower in calories,550
83,Soup Restaurant - Suntec City,Local,5-10,Regular,"Samsui Ginger Chicken, Double-boiled Cordyceps Flower with Pork Loin Soup, Sanyu Fish Slices with Spring Onion and Ginger, Hometown Tofu, Jasmine Steamed Rice","Lower in calories, Healthier Oils",600
74,WOK HEY Funan,Fast Food,5-10,"Halal, Vegetarian options available","Egg Fried Rice, Shanghai Fried Rice, Fresh Ramen, Fresh Udon","Lower in calories, Higher in wholegrain",650
75,Qi Ji - Funan Mall,Local,5-10,"Halal, Vegetarian options available"," Popiah,  Mee Siam","Lower in calories, Higher in wholegrain",450
76,BreadTalk - Funan,Bakery,1-5,N/A,"Soya Toast, Chia Seed Toast, Pumpkin Toast",Higher in wholegrain,250
78,Mr Bean - Dhoby XChange,Local,5-10,"Halal, Vegetarian options available","Wholegrain rice bowls, Chicken porridge, Soy milk","Lower in calories, Higher in wholegrain",275
79,LiHo - Bugis DTL,Drinks,1-5,N/A,"Traditional Black Tea, Jasmine Green Tea, Roasted Guan Yin Tea, Jing Syan Tea, Fresh Lemon Black Tea","Lower in Sugar, No Sugar added",170
80,McDonald's - Suntec City,Fast Food,5-10,Halal,"Sausage McMuffin Meal, Egg McMuffin Meal, Filet-O-Fish Meal, Cheeseburger Meal with Drinking Water, Grilled Chicken Salad Meal with Drinking Water, Grilled Chicken McWrap Meal with Drinking Water","Lower in calories, higher in wholegrain",500
18,Sufood - Raffles City,Local,5-10,Regular,"Miso-Kombu Soup with Lotus Seeds, Wild Vegetable Spaghetti with Tomato Sauce, Zesty Oyster Mushroom Stone Pot 5-Grain Rice","Lower in calories, Healthier Oils, No added MSG",550
55,Sushi Express Citylink Mall,Local,5-10,Regular,"Shrimp Nigiri, Cuttlefish Nigiri, Cooked Octopus Nigiri, Crayfish Salad Gunkan, Seasoned Capelin Roe Gunkan, Sweet Shrimp Sashimi, Cucumber Roll Maki, Seaweed Salad, Okra, Jellyfish, Edamame",Lower in calories,575
19,Sushi Tei - Raffles City,Local,5-10,Regular,"Salmon Belly Miso Soup, Chawanmushi, Dobinmushi, Nameko Miso Soup, Yasai Miso Soup, Sansai Udon/Soba/Ramen, Niku Udon/Soba/Ramen, Salmon Don, Chirashi Don, Oyako Don",Lower in calories,550
42,Swensens - Bugis Junction Plaza,Local,5-10,Regular,"Lower-Sugar Chocolate Ice Cream, Lower-Sugar, Strawberry Ice Cream, Lower-Sugar Vanilla Ice Cream, Smoked Salmon Salad, Pulled Chicken Salad, Grilled Fish with Meuniere Sauce, Pesto Salmon, Grilled Fish Sambal",Lower in calories,575
85,Subway - Suntec City Mall,Fast Food,5-10,"Halal, Vegetarian options available","Wholegrain bread, Roasted Chicken Breast, Veggie Delite","Lower in calories, Higher in wholegrain, Lower in sugar, No added sugar",450
37,The Connoisseur Concerto - Bugis Junction,Local,5-10,Regular,"Eggs Benedict Stack, Truffle Egg Sandwich, Mushroom Soup, Baby Crayfish Salad, A Pot of Mussels, Seafood Aglio Olio",Lower in calories,575
88,Mr Bean - Suntec City Mall East Wing 3,Local,5-10,"Halal, Vegetarian options available","Wholegrain rice bowls, Chicken porridge, Soy milk","Lower in calories, Higher in wholegrain",275
89,The Coffee Bean & Tea Leaf - Suntec City Mall,Drinks,1-5,N/A,"Americano, Cold Brew, Caf� Latte","Lower in sugar, No added sugar",275
90,LiHo - Suntec City Mall,Drinks,1-5,N/A,"Traditional Black Tea, Jasmine Green Tea, Roasted Guan Yin Tea, Jing Syan Tea, Fresh Lemon Black Tea","Lower in Sugar, No Sugar added",170
91,Qi Ji - Suntec City,Local,5-10,"Halal, Vegetarian options available"," Popiah,  Mee Siam","Lower in calories, Higher in wholegrain",450
92,LiHo - Suntec City Mall,Drinks,1-5,N/A,"Traditional Black Tea, Jasmine Green Tea, Roasted Guan Yin Tea, Jing Syan Tea, Fresh Lemon Black Tea","Lower in Sugar, No Sugar added",170
2,Triplets by Bakery Cuisine - Li Ka Shing Library Building,Local,5-10,Regular,Bread,Lower in calories,300
94,umisushi - Suntec City Mall,Local,5-10,Regular,"Chirashi Don, Tori Teriyaki Don, Tamago Maki, Grilled Saba Bento",Lower in calories,400
97,Burger King - Suntec City,Fast Food,5-10,"Halal, Vegetarian options available","Plant-based Whopper, Fish Burger, BBQ Chicken Burger","Lower in calories, higher in wholegrain",550
34,Yole - Bugis+,Local,5-10,Regular,Frozen Yogurt with Fruits,Lower in calories,375
20,Yole - Raffles City,Local,5-10,Regular,Frozen Yogurt with Fruits,Lower in calories,375
100,Subway - Sim Lim Square,Fast Food,5-10,"Halal, Vegetarian options available","Wholegrain bread, Roasted Chicken Breast, Veggie Delite","Lower in calories, Higher in wholegrain, Lower in sugar, No added sugar",500
